LECROYWS452,11807,Waveform
Segments,1,SegmentSize,502
Segment,TrigTime,TimeSinceSegment1
#1,25-Jul-2024 17:29:16,0                 
Time,Ampl
-2.5053e-007,0
-2.4953e-007,-0.015625
-2.4853e-007,0.015625
-2.4753e-007,-0.03125
-2.4653e-007,0.015625
-2.4553e-007,-0.015625
-2.4453e-007,-0.015625
-2.4353e-007,0
-2.4253e-007,-0.046875
-2.4153e-007,0.03125
-2.4053e-007,-0.015625
-2.3953e-007,-0.03125
-2.3853e-007,0.015625
-2.3753e-007,0
-2.3653e-007,-0.03125
-2.3553e-007,0.015625
-2.3453e-007,0
-2.3353e-007,0.03125
-2.3253e-007,-0.03125
-2.3153e-007,0.015625
-2.3053e-007,-0.015625
-2.2953e-007,0
-2.2853e-007,-0.03125
-2.2753e-007,0.015625
-2.2653e-007,-0.015625
-2.2553e-007,0.015625
-2.2453e-007,-0.015625
-2.2353e-007,-0.015625
-2.2253e-007,0
-2.2153e-007,0
-2.2053e-007,-0.03125
-2.1953e-007,0
-2.1853e-007,0.03125
-2.1753e-007,0
-2.1653e-007,0.03125
-2.1553e-007,0.015625
-2.1453e-007,-0.015625
-2.1353e-007,0
-2.1253e-007,0
-2.1153e-007,-0.03125
-2.1053e-007,-0.015625
-2.0953e-007,-0.015625
-2.0853e-007,0
-2.0753e-007,0
-2.0653e-007,0.015625
-2.0553e-007,0
-2.0453e-007,0
-2.0353e-007,-0.015625
-2.0253e-007,0
-2.0153e-007,-0.03125
-2.0053e-007,-0.015625
-1.9953e-007,0.03125
-1.9853e-007,0
-1.9753e-007,0
-1.9653e-007,-0.015625
-1.9553e-007,-0.015625
-1.9453e-007,0.015625
-1.9353e-007,0.03125
-1.9253e-007,-0.03125
-1.9153e-007,0.015625
-1.9053e-007,0
-1.8953e-007,0
-1.8853e-007,0.03125
-1.8753e-007,-0.015625
-1.8653e-007,-0.015625
-1.8553e-007,-0.046875
-1.8453e-007,0
-1.8353e-007,0.015625
-1.8253e-007,0
-1.8153e-007,0
-1.8053e-007,-0.03125
-1.7953e-007,0.015625
-1.7853e-007,0.015625
-1.7753e-007,-0.015625
-1.7653e-007,-0.015625
-1.7553e-007,0
-1.7453e-007,0.015625
-1.7353e-007,0.015625
-1.7253e-007,0
-1.7153e-007,0
-1.7053e-007,-0.046875
-1.6953e-007,0.015625
-1.6853e-007,-0.015625
-1.6753e-007,0.015625
-1.6653e-007,-0.015625
-1.6553e-007,0.015625
-1.6453e-007,-0.015625
-1.6353e-007,0.015625
-1.6253e-007,0.015625
-1.6153e-007,0
-1.6053e-007,-0.015625
-1.5953e-007,-0.03125
-1.5853e-007,0
-1.5753e-007,-0.03125
-1.5653e-007,0.015625
-1.5553e-007,-0.015625
-1.5453e-007,0
-1.5353e-007,0
-1.5253e-007,0.03125
-1.5153e-007,-0.03125
-1.5053e-007,-0.03125
-1.4953e-007,-0.03125
-1.4853e-007,0
-1.4753e-007,0
-1.4653e-007,-0.015625
-1.4553e-007,0.03125
-1.4453e-007,0
-1.4353e-007,-0.015625
-1.4253e-007,0
-1.4153e-007,0.015625
-1.4053e-007,-0.015625
-1.3953e-007,0
-1.3853e-007,0
-1.3753e-007,0
-1.3653e-007,0.015625
-1.3553e-007,-0.03125
-1.3453e-007,0
-1.3353e-007,0
-1.3253e-007,-0.015625
-1.3153e-007,-0.03125
-1.3053e-007,0
-1.2953e-007,-0.015625
-1.2853e-007,-0.03125
-1.2753e-007,0
-1.2653e-007,0
-1.2553e-007,-0.03125
-1.2453e-007,-0.03125
-1.2353e-007,-0.015625
-1.2253e-007,0
-1.2153e-007,0
-1.2053e-007,0
-1.1953e-007,0
-1.1853e-007,-0.015625
-1.1753e-007,0.03125
-1.1653e-007,0.015625
-1.1553e-007,-0.015625
-1.1453e-007,0.015625
-1.1353e-007,-0.046875
-1.1253e-007,-0.03125
-1.1153e-007,0
-1.1053e-007,-0.015625
-1.0953e-007,-0.03125
-1.0853e-007,0.015625
-1.0753e-007,0.03125
-1.0653e-007,-0.015625
-1.0553e-007,-0.015625
-1.0453e-007,0
-1.0353e-007,0.015625
-1.0253e-007,-0.03125
-1.0153e-007,0
-1.0053e-007,0.03125
-9.953e-008,0.03125
-9.853e-008,0
-9.753e-008,-0.046875
-9.653e-008,0
-9.553e-008,-0.046875
-9.453e-008,0
-9.353e-008,0
-9.253e-008,-0.015625
-9.153e-008,-0.015625
-9.053e-008,0.015625
-8.953e-008,-0.03125
-8.853e-008,-0.015625
-8.753e-008,-0.015625
-8.653e-008,-0.015625
-8.553e-008,0
-8.453e-008,0.03125
-8.353e-008,-0.03125
-8.253e-008,-0.03125
-8.153e-008,0
-8.053e-008,-0.015625
-7.953e-008,0.015625
-7.853e-008,-0.015625
-7.753e-008,-0.03125
-7.653e-008,0.015625
-7.553e-008,0
-7.453e-008,0.015625
-7.353e-008,0
-7.253e-008,0
-7.153e-008,0.015625
-7.053e-008,0
-6.953e-008,0
-6.853e-008,0
-6.753e-008,0
-6.653e-008,0
-6.553e-008,-0.046875
-6.453e-008,0
-6.353e-008,-0.015625
-6.253e-008,0
-6.153e-008,-0.015625
-6.053e-008,0
-5.953e-008,0
-5.853e-008,0
-5.753e-008,-0.03125
-5.653e-008,0
-5.553e-008,0.015625
-5.453e-008,0
-5.353e-008,-0.015625
-5.253e-008,0
-5.153e-008,0.015625
-5.053e-008,0
-4.953e-008,-0.015625
-4.853e-008,0
-4.753e-008,-0.015625
-4.653e-008,0.015625
-4.553e-008,-0.015625
-4.453e-008,0.015625
-4.353e-008,0
-4.253e-008,-0.03125
-4.153e-008,-0.046875
-4.053e-008,0
-3.953e-008,0
-3.853e-008,0
-3.753e-008,0
-3.653e-008,0
-3.553e-008,0
-3.453e-008,0
-3.353e-008,-0.015625
-3.253e-008,-0.015625
-3.153e-008,0
-3.053e-008,-0.03125
-2.953e-008,0.03125
-2.853e-008,0.015625
-2.753e-008,0
-2.653e-008,-0.015625
-2.553e-008,-0.03125
-2.453e-008,0.03125
-2.353e-008,-0.0625
-2.253e-008,0
-2.153e-008,0
-2.053e-008,-0.015625
-1.953e-008,0.015625
-1.853e-008,0
-1.753e-008,-0.015625
-1.653e-008,-0.03125
-1.553e-008,-0.03125
-1.453e-008,0.03125
-1.353e-008,0
-1.253e-008,0
-1.153e-008,-0.015625
-1.053e-008,0
-9.53e-009,0
-8.53e-009,-0.03125
-7.53e-009,0.015625
-6.53e-009,0.015625
-5.53e-009,-0.015625
-4.53e-009,-0.03125
-3.53e-009,-0.015625
-2.53e-009,-0.015625
-1.53e-009,0
-5.3e-010,0.21875
4.7e-010,1.15625
1.47e-009,1.45313
2.47e-009,1.29688
3.47e-009,1.3125
4.47e-009,1.21875
5.47e-009,1.17188
6.47e-009,1.07813
7.47e-009,0.984375
8.47e-009,0.96875
9.47e-009,0.875
1.047e-008,0.8125
1.147e-008,0.703125
1.247e-008,0.703125
1.347e-008,0.6875
1.447e-008,0.59375
1.547e-008,0.578125
1.647e-008,0.53125
1.747e-008,0.453125
1.847e-008,0.421875
1.947e-008,0.46875
2.047e-008,0.375
2.147e-008,0.375
2.247e-008,0.296875
2.347e-008,0.328125
2.447e-008,0.28125
2.547e-008,0.28125
2.647e-008,0.25
2.747e-008,0.3125
2.847e-008,0.3125
2.947e-008,0.28125
3.047e-008,0.328125
3.147e-008,0.28125
3.247e-008,0.1875
3.347e-008,0.1875
3.447e-008,0.1875
3.547e-008,0.140625
3.647e-008,0.125
3.747e-008,0.109375
3.847e-008,0.0625
3.947e-008,0.078125
4.047e-008,0.03125
4.147e-008,0.078125
4.247e-008,0
4.347e-008,0
4.447e-008,0.015625
4.547e-008,0.015625
4.647e-008,0
4.747e-008,0.015625
4.847e-008,0
4.947e-008,0.015625
5.047e-008,0
5.147e-008,-0.015625
5.247e-008,0
5.347e-008,0
5.447e-008,-0.015625
5.547e-008,-0.015625
5.647e-008,0
5.747e-008,0
5.847e-008,0
5.947e-008,-0.015625
6.047e-008,-0.046875
6.147e-008,-0.03125
6.247e-008,-0.046875
6.347e-008,-0.03125
6.447e-008,-0.015625
6.547e-008,-0.03125
6.647e-008,-0.046875
6.747e-008,-0.0625
6.847e-008,-0.015625
6.947e-008,-0.046875
7.047e-008,-0.046875
7.147e-008,0
7.247e-008,-0.015625
7.347e-008,-0.03125
7.447e-008,-0.03125
7.547e-008,-0.03125
7.647e-008,0
7.747e-008,-0.03125
7.847e-008,0.015625
7.947e-008,-0.03125
8.047e-008,-0.03125
8.147e-008,-0.03125
8.247e-008,-0.03125
8.347e-008,-0.03125
8.447e-008,0.03125
8.547e-008,-0.046875
8.647e-008,-0.015625
8.747e-008,0
8.847e-008,-0.03125
8.947e-008,-0.015625
9.047e-008,0.015625
9.147e-008,-0.03125
9.247e-008,0.015625
9.347e-008,-0.015625
9.447e-008,-0.03125
9.547e-008,-0.015625
9.647e-008,-0.015625
9.747e-008,0.015625
9.847e-008,0
9.947e-008,0.015625
1.0047e-007,-0.03125
1.0147e-007,0.03125
1.0247e-007,-0.015625
1.0347e-007,-0.0625
1.0447e-007,-0.015625
1.0547e-007,0.015625
1.0647e-007,0
1.0747e-007,0
1.0847e-007,-0.015625
1.0947e-007,-0.015625
1.1047e-007,-0.015625
1.1147e-007,0
1.1247e-007,0
1.1347e-007,0
1.1447e-007,0
1.1547e-007,-0.015625
1.1647e-007,0.015625
1.1747e-007,0
1.1847e-007,-0.03125
1.1947e-007,0
1.2047e-007,-0.03125
1.2147e-007,0.03125
1.2247e-007,-0.0625
1.2347e-007,0
1.2447e-007,-0.03125
1.2547e-007,0
1.2647e-007,-0.03125
1.2747e-007,0
1.2847e-007,-0.046875
1.2947e-007,0
1.3047e-007,-0.03125
1.3147e-007,-0.03125
1.3247e-007,0
1.3347e-007,0
1.3447e-007,-0.015625
1.3547e-007,-0.03125
1.3647e-007,-0.015625
1.3747e-007,0
1.3847e-007,-0.03125
1.3947e-007,0.015625
1.4047e-007,-0.03125
1.4147e-007,0
1.4247e-007,-0.03125
1.4347e-007,-0.015625
1.4447e-007,0
1.4547e-007,-0.03125
1.4647e-007,0.015625
1.4747e-007,0
1.4847e-007,0
1.4947e-007,-0.015625
1.5047e-007,0
1.5147e-007,-0.03125
1.5247e-007,-0.015625
1.5347e-007,-0.03125
1.5447e-007,-0.015625
1.5547e-007,0.03125
1.5647e-007,-0.015625
1.5747e-007,-0.015625
1.5847e-007,-0.03125
1.5947e-007,-0.015625
1.6047e-007,-0.03125
1.6147e-007,0.015625
1.6247e-007,-0.046875
1.6347e-007,-0.015625
1.6447e-007,0
1.6547e-007,-0.015625
1.6647e-007,0
1.6747e-007,-0.046875
1.6847e-007,0
1.6947e-007,0.015625
1.7047e-007,-0.03125
1.7147e-007,-0.015625
1.7247e-007,-0.015625
1.7347e-007,0
1.7447e-007,0.015625
1.7547e-007,-0.0625
1.7647e-007,0.015625
1.7747e-007,-0.03125
1.7847e-007,-0.015625
1.7947e-007,-0.03125
1.8047e-007,0
1.8147e-007,-0.03125
1.8247e-007,0
1.8347e-007,0
1.8447e-007,0
1.8547e-007,-0.03125
1.8647e-007,0.015625
1.8747e-007,0
1.8847e-007,0
1.8947e-007,-0.015625
1.9047e-007,0
1.9147e-007,-0.015625
1.9247e-007,0
1.9347e-007,0
1.9447e-007,-0.015625
1.9547e-007,0.015625
1.9647e-007,-0.015625
1.9747e-007,-0.015625
1.9847e-007,-0.015625
1.9947e-007,0
2.0047e-007,-0.015625
2.0147e-007,-0.046875
2.0247e-007,0.015625
2.0347e-007,-0.03125
2.0447e-007,-0.015625
2.0547e-007,-0.015625
2.0647e-007,0
2.0747e-007,-0.046875
2.0847e-007,-0.015625
2.0947e-007,-0.046875
2.1047e-007,-0.015625
2.1147e-007,-0.03125
2.1247e-007,0
2.1347e-007,0.015625
2.1447e-007,0
2.1547e-007,-0.03125
2.1647e-007,0
2.1747e-007,-0.015625
2.1847e-007,-0.015625
2.1947e-007,0.03125
2.2047e-007,-0.015625
2.2147e-007,0.03125
2.2247e-007,-0.046875
2.2347e-007,-0.015625
2.2447e-007,-0.015625
2.2547e-007,0.015625
2.2647e-007,0
2.2747e-007,0.015625
2.2847e-007,-0.03125
2.2947e-007,-0.046875
2.3047e-007,-0.015625
2.3147e-007,-0.046875
2.3247e-007,0
2.3347e-007,-0.015625
2.3447e-007,0.03125
2.3547e-007,-0.03125
2.3647e-007,-0.015625
2.3747e-007,0.015625
2.3847e-007,0.015625
2.3947e-007,-0.0625
2.4047e-007,-0.015625
2.4147e-007,0.015625
2.4247e-007,-0.03125
2.4347e-007,-0.03125
2.4447e-007,-0.03125
2.4547e-007,0
2.4647e-007,0
2.4747e-007,-0.046875
2.4847e-007,-0.015625
2.4947e-007,-0.03125
2.5047e-007,-0.03125
